cohort	subject	modality	gene	reference_method	cluster_id	comparator	reference_correct	comparator_correct	delta	reference_callable	comparator_callable	comparator_status
1000G-development	HG00096	rnaseq	A	SimplePluralityLex	1000G-development:HG00096	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00096	rnaseq	B	SimplePluralityLex	1000G-development:HG00096	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00096	rnaseq	C	SimplePluralityLex	1000G-development:HG00096	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00097	rnaseq	A	SimplePluralityLex	1000G-development:HG00097	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00097	rnaseq	B	SimplePluralityLex	1000G-development:HG00097	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00097	rnaseq	C	SimplePluralityLex	1000G-development:HG00097	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00099	rnaseq	A	SimplePluralityLex	1000G-development:HG00099	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00099	rnaseq	B	SimplePluralityLex	1000G-development:HG00099	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00099	rnaseq	C	SimplePluralityLex	1000G-development:HG00099	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00100	rnaseq	A	SimplePluralityLex	1000G-development:HG00100	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00100	rnaseq	B	SimplePluralityLex	1000G-development:HG00100	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00100	rnaseq	C	SimplePluralityLex	1000G-development:HG00100	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00101	rnaseq	A	SimplePluralityLex	1000G-development:HG00101	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00101	rnaseq	B	SimplePluralityLex	1000G-development:HG00101	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00101	rnaseq	C	SimplePluralityLex	1000G-development:HG00101	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00102	rnaseq	A	SimplePluralityLex	1000G-development:HG00102	BestSingleTool_nestedCV	0	0	0	1	1	callable
1000G-development	HG00102	rnaseq	B	SimplePluralityLex	1000G-development:HG00102	BestSingleTool_nestedCV	1	0	-1	1	1	callable
1000G-development	HG00102	rnaseq	C	SimplePluralityLex	1000G-development:HG00102	BestSingleTool_nestedCV	1	0	-1	1	1	callable
1000G-development	HG00103	rnaseq	A	SimplePluralityLex	1000G-development:HG00103	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00103	rnaseq	B	SimplePluralityLex	1000G-development:HG00103	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00103	rnaseq	C	SimplePluralityLex	1000G-development:HG00103	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00104	rnaseq	A	SimplePluralityLex	1000G-development:HG00104	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00104	rnaseq	B	SimplePluralityLex	1000G-development:HG00104	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00104	rnaseq	C	SimplePluralityLex	1000G-development:HG00104	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00105	rnaseq	A	SimplePluralityLex	1000G-development:HG00105	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00105	rnaseq	B	SimplePluralityLex	1000G-development:HG00105	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00105	rnaseq	C	SimplePluralityLex	1000G-development:HG00105	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00106	rnaseq	A	SimplePluralityLex	1000G-development:HG00106	BestSingleTool_nestedCV	1	0	-1	1	1	callable
1000G-development	HG00106	rnaseq	B	SimplePluralityLex	1000G-development:HG00106	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00106	rnaseq	C	SimplePluralityLex	1000G-development:HG00106	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00108	rnaseq	A	SimplePluralityLex	1000G-development:HG00108	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00108	rnaseq	B	SimplePluralityLex	1000G-development:HG00108	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00108	rnaseq	C	SimplePluralityLex	1000G-development:HG00108	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00109	rnaseq	A	SimplePluralityLex	1000G-development:HG00109	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00109	rnaseq	B	SimplePluralityLex	1000G-development:HG00109	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00109	rnaseq	C	SimplePluralityLex	1000G-development:HG00109	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00110	rnaseq	A	SimplePluralityLex	1000G-development:HG00110	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00110	rnaseq	B	SimplePluralityLex	1000G-development:HG00110	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00110	rnaseq	C	SimplePluralityLex	1000G-development:HG00110	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00111	rnaseq	A	SimplePluralityLex	1000G-development:HG00111	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00111	rnaseq	B	SimplePluralityLex	1000G-development:HG00111	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00111	rnaseq	C	SimplePluralityLex	1000G-development:HG00111	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00112	rnaseq	A	SimplePluralityLex	1000G-development:HG00112	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00112	rnaseq	B	SimplePluralityLex	1000G-development:HG00112	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00112	rnaseq	C	SimplePluralityLex	1000G-development:HG00112	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00114	rnaseq	A	SimplePluralityLex	1000G-development:HG00114	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00114	rnaseq	B	SimplePluralityLex	1000G-development:HG00114	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00114	rnaseq	C	SimplePluralityLex	1000G-development:HG00114	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00115	rnaseq	A	SimplePluralityLex	1000G-development:HG00115	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00115	rnaseq	B	SimplePluralityLex	1000G-development:HG00115	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00115	rnaseq	C	SimplePluralityLex	1000G-development:HG00115	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00116	rnaseq	A	SimplePluralityLex	1000G-development:HG00116	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00116	rnaseq	B	SimplePluralityLex	1000G-development:HG00116	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00116	rnaseq	C	SimplePluralityLex	1000G-development:HG00116	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00171	rnaseq	A	SimplePluralityLex	1000G-development:HG00171	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00171	rnaseq	B	SimplePluralityLex	1000G-development:HG00171	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00171	rnaseq	C	SimplePluralityLex	1000G-development:HG00171	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00173	rnaseq	A	SimplePluralityLex	1000G-development:HG00173	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00173	rnaseq	B	SimplePluralityLex	1000G-development:HG00173	BestSingleTool_nestedCV	0	0	0	1	1	callable
1000G-development	HG00173	rnaseq	C	SimplePluralityLex	1000G-development:HG00173	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00174	rnaseq	A	SimplePluralityLex	1000G-development:HG00174	BestSingleTool_nestedCV	1	0	-1	1	0	missing
1000G-development	HG00174	rnaseq	B	SimplePluralityLex	1000G-development:HG00174	BestSingleTool_nestedCV	1	0	-1	1	0	missing
1000G-development	HG00174	rnaseq	C	SimplePluralityLex	1000G-development:HG00174	BestSingleTool_nestedCV	1	0	-1	1	0	missing
1000G-development	HG00176	rnaseq	A	SimplePluralityLex	1000G-development:HG00176	BestSingleTool_nestedCV	1	1	0	1	1	callable
1000G-development	HG00176	rnaseq	B	SimplePluralityLex	1000G-development:HG00176	BestSingleTool_nestedCV	1	1	0	1	1	callable
