claim_id	draft	section	claim	status	evidence_result_id	action
SRC-001	source_original	Abstract	Historical WGS performance supports an operating-method claim.	remove	DEV_WGS_LEGACY_BASE	Retain only as labeled invalid diagnostics.
SRC-002	source_original	Abstract	MV-floor is the primary operating method.	remove		Superseded by the disclosed plurality amendment.
SRC-003	source_original	Methods	Population stratification requires manual completion.	remove		Resolve from machine-readable assignments.
SRC-004	source_original	Supplement	FIMM survival and HED support the primary method.	remove		Keep outside the benchmark claim.
BM-001	benchmark	Abstract	ChampHLA provides auditable multi-caller HLA-A/B/C integration with pair-level plurality as the default.	supported		Retain as the software and benchmark headline.
BM-002	benchmark	Results	WES plurality development accuracy uses the fixed eligible-truth denominator.	development	DEV_WES_CONSENSUS	Retain with post-result disclosure.
BM-003	benchmark	Results	RNA-seq plurality development accuracy uses the fixed eligible-truth denominator.	development	DEV_RNA_CONSENSUS	Retain with post-result disclosure.
BM-004	benchmark	Ablations	RefFormer failed its frozen retention gate.	supported	REFFORMER_GATE	Retain as a negative historical ablation.
BM-005	benchmark	Ablations	EvidenceGatedCC failed its development gate.	supported	EGCC_GATE	Retain as a negative historical ablation.
BM-006	benchmark	WGS	Historical WGS values are invalid and diagnostic only.	supported	DEV_WGS_CONSENSUS	Permit only in the supplement with explicit invalid labeling.
BM-007	benchmark	Conclusion	Cross-assay performance wording depends on a valid corrected prospective rerun.	pending		Resolve from three_modality_claim_ready.
METHOD-001	method	Status	The Guarded CC method manuscript is superseded and retained only for provenance.	supported		Do not reactivate as the primary manuscript.
SHARED-001	shared	Methods	A native missing second allele remains partial and never implies homozygosity.	supported		Enforced by parser and harmonisation tests.
SHARED-002	shared	Methods	Donor-independent and overlapping-donor evidence is not pooled.	supported		Enforced by the generic evaluator.
