issue_id	category	severity	status	evidence	root_cause	action	verification	blocker_type	owner	updated_utc
GOAL-001	reproducibility	medium	IN_PROGRESS	docs/CHAMPHLA_COMPLETION_GOAL_PROMPT.md is untracked; attached source is d:/Users/uonur/Desktop/AML_project/pipeline_prompt.txt	The durable completion contract was supplied after commit 9b95de2	Preserve and review the repository copy; include it in the next coherent local milestone	Git diff --no-index --ignore-space-at-eol reports no content difference from the attached prompt	none	agent	2026-09-15T10:16:07Z
WF-001	workflow	critical	IN_PROGRESS	Roihu stagev3 is terminal: WES and RNA validated; WGS HG00096 validated but HG00097 job 1332819 failed after 7,141 seconds, caller 1332820 was cancelled, and finalizer 1332821 failed closed	The final six-sample pilot matrix is incomplete and the transport-classifier correction changes the candidate commit	Complete the workflow corrections, freeze one reviewed commit, and rerun two WGS/WES/RNA samples under new stagev4 run IDs after scoped approval	Two validated samples each and exactly 30 WGS, 30 WES, and 24 RNA caller-locus rows on one commit	external_runtime	agent	2026-09-15T17:21:49Z
WF-002	workflow	critical	OPEN	docs/PLURALITY_RERUN_RUNBOOK.md storage-gate contract	The three-modality storage gate cannot be calculated until WF-001 passes	Run assess_roihu_storage exclusively on the three stagev3 ledgers without overwriting prior evidence	Schema-valid passed storage gate with two consistent samples per modality and 100-GiB reserve	none	agent	2026-09-15T10:16:07Z
WF-003	workflow	critical	IN_PROGRESS	Local patch adds environment-inventory schema v2 with safe evidence ID, UTC capture time, freshness and post-pilot validation, versioned preflight directories, and explicit CURRENT promotion	A pre-pilot inventory could overstate project-allocation headroom after retained pilot outputs accumulate	Finish shell/lock integration and verify on supported Roihu Python before closing	Stale/pre-pilot inventories fail; immutable promoted post-pilot project-allocation evidence passes and its exact hash enters the gate	none	agent	2026-09-15T17:21:49Z
WF-004	workflow	critical	IN_PROGRESS	Local assess_storage patch computes peak-minus-retained per accepted sample before nearest-rank p95; crossed-maxima regression passes	Peak and retained maxima can come from different samples, so subtracting marginal quantiles understated sequential headroom	Run full local and supported Roihu suites, then verify the real stagev4 storage gate uses the corrected field	Regression and real gate prove sequential requirement uses per-sample transient values	none	agent	2026-09-15T17:21:49Z
WF-005	workflow	critical	IN_PROGRESS	HG00097 stagev3 quarantine records a 116,748,342-byte partial BAM after 7,132 seconds and stderr only `samtools view: error reading file "https://..."`; classifier called it deterministic unclassified exit 1 and skipped attempt 2	The bounded remote-transport allowlist covered CRC, closing, timeout, reset, DNS, 429/5xx, seek and EOF forms but omitted samtools' generic remote-URI read-error form	Add only the quoted http/https remote-read form to the transient allowlist; keep local and unqualified read errors deterministic; rerun all six pilots on the corrected commit	Targeted classifier tests pass, stagev4 retries the exact form once in-job if encountered, and deterministic failures remain no-retry	none	agent	2026-09-15T17:21:49Z
DATA-001	data	critical	OPEN	cohorts/same_resource_truth_free.freeze.json and artifacts/release_readiness.json	Corrected same-resource production has not been executed	After signature and approval, run capacity validation and frozen production batches	Exactly 137 WGS, 130 WES, 107 RNA subjects and 5,289 validated production caller-locus rows	approval_gated	shared	2026-09-15T10:16:07Z
DATA-002	data	critical	OPEN	artifacts/corrected is absent	Truth-blind same-resource predictions, WGS audit, freeze, truth join, and corrected evaluation are incomplete	Collect only production outputs and execute the frozen firewall sequence	Exactly 1,122 plurality rows; valid freeze before one non-overwriting truth join	human_and_approval_gated	shared	2026-09-15T10:16:07Z
DATA-003	data	high	OPEN	cohorts/nci60_rna_truth_free.freeze.json; dataset role exploratory	The frozen 11-subject NCI-60 RNA lane has not been executed through the final panel	Run it separately after the authorized same-resource boundary or a separately approved small-run boundary	Separate exploratory freeze, one-time join, evaluation, and recount; never pooled	authorization_boundary	shared	2026-09-15T10:16:07Z
DATA-004	data	critical	BLOCKED_EXTERNAL	configs/hprc_truth_protocol.json status PREPARED_NOT_FROZEN	AGC archive, HLA-ASM, Immuannot, wrappers, and references are not acquired and checksum-pinned	Prepare a scoped acquisition and compute approval packet; freeze all truth inputs before execution	Protocol status FROZEN with every REQUIRED_BEFORE_EXECUTION field resolved	approval_gated	shared	2026-09-15T10:16:07Z
DATA-005	data	critical	OPEN	configs/confirmation_protocol.json requires 120 independent WGS subjects	HPRC truth-blind WGS predictions and segregated dual-method assembly truth are not complete	Execute the frozen HPRC lane after DATA-004 and approval	At least 120 eligible donors, complete audit, freeze/join, evaluation, recount, and gate evidence	approval_gated	shared	2026-09-15T10:16:07Z
DATA-006	data	critical	BLOCKED_EXTERNAL	decisions/20260909_public_validation_gap_assessment.json	No qualifying public donor-independent WES cohort with direct complete A/B/C truth and at least 89 donors was found	Repeat the bounded official-repository search before submission; do not relax criteria	Qualifying frozen cohort completed or a signed prospective design decision replaces this requirement	external_evidence	shared	2026-09-15T10:16:07Z
DATA-007	data	critical	BLOCKED_EXTERNAL	decisions/20260909_public_validation_gap_assessment.json	No qualifying public donor-independent RNA cohort with direct complete A/B/C truth and at least 130 donors was found	Repeat the bounded official-repository search before submission; do not substitute NCI-60	Qualifying frozen cohort completed or a signed prospective design decision replaces this requirement	external_evidence	shared	2026-09-15T10:16:07Z
PROV-001	provenance	critical	OPEN	artifacts/release_readiness.json	Corrected prediction freeze and one-time truth join artifacts do not exist	Generate and validate immutable freeze from a fresh checkout before the single join	Freeze and join validators pass and repeat join refuses overwrite	none	agent	2026-09-15T10:16:07Z
PROV-002	provenance	high	FIXED_VERIFIED	All frozen comparator rows, including WeightedConsensus, RefFormer, EvidenceGatedCC, and CandidateSetOracle, now resolve exact artifact/source/workflow hashes and reference artifacts	Historical rows lacked fully machine-checkable immutable inputs	Linked the preserved decisions/reports with exact hashes and made complete provenance mandatory for every frozen comparator	Manifest regression tests reject any frozen historical or deployable row with missing or drifting provenance	none	agent	2026-09-15T22:38:30Z
PROV-003	provenance	high	FIXED_VERIFIED	configs/confirmation_protocol.json now delegates database releases to the caller-specific attestation; comparator and attestation validators cover heterogeneous SpecHLA components	A legacy repository-wide release field conflicted with caller-specific frozen provenance	Deprecated the global release assertion and made component-level caller/database provenance authoritative	Schema tests and manifest/attestation audits pass while preserving releases 3.11.0-3.63.0 and heterogeneous SpecHLA	none	agent	2026-09-15T22:38:30Z
PROV-004	provenance	medium	FIXED_VERIFIED	configs/consensus_evaluation_prospective.json records the comparator manifest as frozen while retaining the unsigned amendment gate	The evaluation design lifecycle status was stale after comparator freeze	Synchronized only the comparator lifecycle component and preserved the author-signature dependency	Config validation proves comparator status current and author signature still pending	none	agent	2026-09-15T22:38:30Z
PROV-005	provenance	high	FIXED_VERIFIED	The two pilot-wes-stagev3 POLYSOLVER transform audits and hashes are recorded in the decision and caller attestation as technically validated	Lifecycle metadata had not incorporated successful two-sample transform evidence	Recorded immutable transform audit paths/hashes without altering the separate region-plus-unmapped method-change caveat	Decision/attestation regression tests pass and historical 357/390 non-comparability remains explicit	none	agent	2026-09-15T22:38:30Z
PROV-006	provenance	high	IN_PROGRESS	Local scripts now write preflight/<evidence_id> evidence, refuse directory collisions, and require a separately promoted CURRENT pointer in submission	Repeated preflight previously overwrote historical attestations and prevented a non-overwriting evidence chain	Complete regression coverage, refresh the workflow lock, and verify preflight/promotion on Roihu	Repeated preflight preserves prior hashes; submission consumes the explicitly promoted matching attestation	none	agent	2026-09-15T17:21:49Z
STAT-001	statistics	critical	OPEN	artifacts/corrected/evaluation is absent	Corrected same-resource evaluator, 100,000 donor-clustered iterations, Holm families, and independent recount await production evidence	Run locked evaluation only after valid truth join	All configured outputs validate and independent recount exactly agrees	none	agent	2026-09-15T10:16:07Z
STAT-002	statistics	critical	BLOCKED_EXTERNAL	artifacts/independent/evaluation/confirmation_decision.json is absent	Independent WGS/WES/RNA inputs and truth are incomplete	Evaluate each donor-independent lane separately after its frozen firewall sequence	Independent three-modality gate passes all minima and prospective two-point bounds	external_evidence	shared	2026-09-15T10:16:07Z
MS-001	manuscript	high	IN_PROGRESS	manuscripts/source_original/issue_register.tsv; active main text is compact but incomplete	The original 15,420-word structure was replaced, but the active draft still lacks final evidence and required submission sections	Complete a journal-neutral structure after results freeze; keep exhaustive material supplemental	Main manuscript structure audit passes at final evidence	none	agent	2026-09-15T10:16:07Z
MS-002	manuscript	high	OPEN	manuscripts/benchmark/manuscript.md contains generated/awaiting/final-version language and lacks human declarations	The manuscript is intentionally conditional pending final evidence and author metadata	Replace generated placeholders from registry outputs and request only irreducibly human declarations	Placeholder and declaration audits pass	human_metadata	shared	2026-09-15T10:16:07Z
MS-003	manuscript	critical	FIXED_VERIFIED	manuscripts/benchmark/supplementary.md S7 and claim audit BM-006	Historical WGS performance was previously used as primary evidence	Keep invalid values only in explicitly diagnostic supplement text	Main-only claim audit excludes invalid WGS; combined audit permits only labelled diagnostic use	none	agent	2026-09-15T10:16:07Z
MS-004	manuscript	critical	FIXED_VERIFIED	README.md and active manuscript center SimplePluralityLex	MV-floor was an obsolete headline	Retain MV-floor only as comparator/ablation	Search and claim audit confirm no active MV-floor primary framing	none	agent	2026-09-15T10:16:07Z
MS-005	manuscript	medium	FIXED_VERIFIED	manuscripts/benchmark/manuscript.md limitations scope	Unvalidated long-read support occupied the original main narrative	Keep long-read work outside the primary scope	Active manuscript audit shows no long-read performance claim	none	agent	2026-09-15T10:16:07Z
MS-006	manuscript	high	FIXED_VERIFIED	manuscripts/benchmark/manuscript.md scope and source issue register	FIMM, LOH/HED, survival, and transplant analyses were embedded in the original draft	Retain them only as archived provenance or explicit out-of-scope limitations	Active main manuscript contains no such result claims	none	agent	2026-09-15T10:16:07Z
MS-007	manuscript	critical	IN_PROGRESS	The historical Caller:POLYSOLVER 357/390 row is registered with its source/configuration boundary and same-resource/prospective wording is corrected; final production prose remains evidence-blocked	Corrected production results do not yet exist, though the historical disclosure defect is resolved	After corrected evaluation, generate the remaining quantitative prose, tables, and plots exclusively from reconciled registry entries	Current main-only and combined audits have zero failures and only pending claim BM-007; final audits must pass after production	none	agent	2026-09-15T22:38:30Z
MS-008	manuscript	critical	BLOCKED_EXTERNAL	manuscripts/claim_audit.tsv BM-007 and completion contract	Donor-independent three-modality confirmation is incomplete	Keep performance conclusions conditional and complete DATA-005/006/007	Independent three-modality gate and manuscript claim audit pass	external_evidence	shared	2026-09-15T10:16:07Z
MS-009	manuscript	high	OPEN	active compact comparison table omits final callability/called-only values	Final corrected evaluation is unavailable	Generate compact main comparison from registry and report abstention endpoints	Table-source and claim audits pass	none	agent	2026-09-15T10:16:07Z
MS-010	manuscript	critical	FIXED_VERIFIED	scripts/run_local_verification.sh creates distinct main-only and main-plus-supplement audits at the two configured paths	The previous verification script conflated the two audit scopes	Separated invocations and added regression coverage for distinct readiness inputs	Both current audits report zero failures and only pending evidence claim BM-007	none	agent	2026-09-15T22:38:30Z
MS-011	manuscript	high	IN_PROGRESS	A verified 11-entry references.bib, deterministic standard-library DOCX renderer, submission manifest, and semantic parity/bibliography audits now exist	The active draft lacked a submission package and citation-lineage controls	Keep regenerating the package after evidence-backed manuscript changes; obtain author declarations and named final visual review	Markdown/DOCX parity and bibliography audits pass; declaration audit honestly remains blocked on six author-only fields	dependency_and_human_review	shared	2026-09-15T22:38:30Z
FIG-001	figures	critical	IN_PROGRESS	MAIN-1 workflow/firewall and MAIN-2 cohort/evidence figures are reproducibly generated in SVG/PDF/300-dpi PNG; MAIN-3 to MAIN-5 are explicitly evidence-blocked	Performance and inference source artifacts do not yet exist	Generate the three result figures only after corrected registered evaluations, then rerun the fail-closed manifest audit	Generated-row source/hash/dimension tests pass; audit has zero failures but remains false because three required roles are blocked	none	agent	2026-09-15T22:38:30Z
FIG-002	figures	high	BLOCKED_HUMAN	Completion contract requires recorded final visual inspection	Final figures do not yet exist and human visual approval cannot be impersonated	Generate and programmatically inspect figures, then prepare a named-review packet	Named reviewer signs final visual inspection records	human_review	shared	2026-09-15T10:16:07Z
