figure_id	filename_stem	manuscript_role	manuscript_section	active	source_analysis	hub_script	original_script	arial_font	legend_outside	formats	last_updated	notes
Fig 1	figure_1_workflow_architecture	main	Methods	yes	manual / architecture diagram	—	manual (outside AI scope)	unknown	N/A	pdf+svg+png	2026-06-01	Architecture schematic; manually prepared. Benchmark hierarchy explicit in view.
Fig 2	figure_2_accuracy_comparison	main	Results	yes	analysis/1000g_realdata/benchmark_wgs_wave2	scripts/fig_benchmark_main.py	bin/generate_figures.py	yes	yes	pdf+svg+png	2026-06-03	Primary WGS anchor result (n=50, holdout n=12). Regenerated 2026-06-03 with fig_benchmark_main.py; Arial enforced via apply_style().
Fig 3	figure_3_per_gene_gains	main	Results	yes	analysis/1000g_realdata/benchmark_wgs_wave2 (per-gene tables)	scripts/fig_benchmark_main.py	bin/generate_figures.py	yes	yes	pdf+svg+png	2026-06-03	Per-gene WGS failure-mode. HLA-B easiest (0.83), HLA-C hardest (0.17). Regenerated 2026-06-03; Arial enforced.
Fig 4	figure_4_confidence_calibration	main	Results	yes	analysis/1000g_realdata/benchmark_wgs_wave2 (calibration tables)	scripts/fig_benchmark_main.py	bin/generate_figures.py	yes	yes	pdf+svg+png	2026-06-03	Confidence guardrails: OptiType/HLA-HD/Kourami blocked; T1K partial boost. Regenerated 2026-06-03; Arial enforced.
Fig 5	figure_5_abstention_tradeoff	main	Results	yes	analysis/1000g_realdata/benchmark_wgs_wave2 + WES + RNA (calibration/confidence)	scripts/fig_benchmark_main.py	bin/generate_figures.py	yes	yes	pdf+svg+png	2026-06-03	Abstention–accuracy tradeoff. Rates: 8% WGS, 7% WES, 4% RNA. Regenerated 2026-06-03; Arial enforced.
Fig 6	figure_6_discordance_taxonomy	main	Results	yes	analysis/1000g_realdata/benchmark_wgs_wave2 (discordance summaries)	scripts/fig_benchmark_main.py	bin/generate_figures.py	yes	yes	pdf+svg+png	2026-06-03	5-category discordance taxonomy. WGS low_evidence n=157; RNA possible_expression_bias n=292. Regenerated 2026-06-03; Arial enforced.
Fig 7	figure_7_confidence_weights	main	Results	yes	analysis/1000g_realdata/benchmark_wgs_wave2 (weight tables)	scripts/fig_benchmark_main.py	bin/generate_figures.py	yes	yes	pdf+svg+png	2026-06-03	Final runtime weights: OptiType 0.5476, T1K 0.2649, HLA-HD 0.2294. Regenerated 2026-06-03; Arial enforced.
Fig 8 (file: 09)	figure_09_bimodal_per_gene	main	Results (multimodal section)	yes	analysis/1000g_realdata/benchmark_trimodal_robustness/run (WES+RNA matched n=106)	scripts/fig_benchmark_main.py	bin/generate_figures_pub.py	yes	yes	pdf+svg+png	2026-06-03	Bimodal WES+RNA: strongest multimodal result. Regenerated 2026-06-03 with fig_benchmark_main.py; Arial enforced via apply_style().
Fig 9 (file: 10)	figure_10_trimodal_comparison	main	Results (multimodal section)	yes	analysis/1000g_realdata/benchmark_trimodal_robustness/run	scripts/fig_benchmark_main.py	bin/generate_figures_pub.py	yes	yes	pdf+svg+png	2026-06-03	Trimodal vs bimodal: adding WGS does not improve over WES+RNA. Regenerated 2026-06-03 with fig_benchmark_main.py; Arial enforced.
Fig S1	figure_s1_per_gene_accuracy	supplementary	Supplementary	yes	per-modality benchmark runs (WGS/WES/RNA all samples)	scripts/fig_benchmark_main.py	bin/generate_figures_pub.py	yes	yes	pdf+svg+png	2026-06-03	Per-gene accuracy all tools × modalities. Regenerated 2026-06-03 with fig_benchmark_main.py; Arial enforced.
Fig S2	figure_s2_calibration_heatmap	supplementary	Supplementary	yes	per-modality calibration tables (ECE, Brier scores)	scripts/fig_benchmark_main.py	bin/generate_figures_pub.py	yes	yes	pdf+svg+png	2026-06-03	Calibration heatmap per tool × modality. ECE/Brier threshold 0.35. Regenerated 2026-06-03; Arial enforced.
Fig S3	figure_s3_resolution_comparison	supplementary	Supplementary	yes	per-modality benchmark tables (2-field vs 3-field, G/P group)	scripts/fig_benchmark_main.py	bin/generate_figures_pub.py	yes	yes	pdf+svg+png	2026-06-03	Resolution comparison (2-field primary; 3-field/G-group secondary). Regenerated 2026-06-03; Arial enforced.
FIMM-CONC-A	fig_concordance_by_gene	fimm_only	N/A (internal / supplementary candidate)	yes	pihla_local/fimm_results/fimm_hla_calls_deident.tsv	scripts/fig_fimm_concordance.py	bin/analyze_fimm_hla.py	yes	yes	pdf+svg+png	2026-06-03	Per-gene tool-pair concordance heatmap (genes A, B, C). Regenerated 2026-06-03 with fig_fimm_concordance.py using fimm_hla_calls_deident.tsv; Arial enforced.
FIMM-CROSS	fig_crossmodal_comparison	fimm_only	N/A	yes	pihla_local/fimm_results/fimm_hla_calls_deident.tsv	scripts/fig_fimm_concordance.py	bin/analyze_fimm_hla.py	yes	yes	pdf+svg+png	2026-06-03	Cross-modality concordance bars (scRNA vs WES vs BulkRNA). Regenerated 2026-06-03 with fig_fimm_concordance.py; Arial enforced.
