artifact_id	generator	inputs	output	current_sha256	evidence_role	consumers	status
workflow_lock	freeze_workflow_lock; validate_workflow_lock	workflow modules, parsers, helpers, site configuration	configs/roihu_workflow_lock.json	cbe7fe64f1b3acdea849c9162ed1e6da06a4c28066a2c3364495c58c4827a669	provenance	preflight; pilot/capacity/production submission	FROZEN_VALID
caller_reference_attestation	validate_caller_reference_attestation	containers, executable versions, caller databases, workflow hashes	configs/roihu_caller_reference_attestation.json	debf9646b90b0f93879e1f80240733b63d698dab59fad1ba541f53754690e742	provenance	preflight; comparator freeze; Methods	VALID_WITH_RECORDED_SCHEMA_ISSUE
comparator_manifest	manifest validator	caller/integration code, policies, artifacts, reference attestations	configs/comparator_manifest.json	2a39d922327555379fffac2ee985e138e743a4067349e05c64ac4d08c7f5ebfb	prospective_design	prediction generation; evaluation; Holm families; manuscript	FROZEN_VALID_DEPLOYABLES
same_resource_manifest_freeze	freeze_run_manifest	truth-free same-resource roster and public source metadata	cohorts/same_resource_truth_free.freeze.json	e814bd0aae3bcc60ead6c5096154a9baa6789412c6ba9d8638e5eb3079b4654c	same_resource_confirmation	pilot/capacity/production submission	FROZEN_VALID
nci60_manifest_freeze	freeze_run_manifest	truth-free strict NCI-60 RNA roster and ENA metadata	cohorts/nci60_rna_truth_free.freeze.json	2d3f3c3c5819f2a4ebdd8b05e8f5208b31ec121e3127be7fa690acb0d6cc9aa3	exploratory	NCI-60 execution	FROZEN_VALID_NOT_EXECUTED
technical_pilot_ledgers	roihu_submit_wave; stage/caller/finalizer scripts	same-resource manifest freeze, workflow lock, caller panel	/scratch/project_2008084/champhla_plurality_runs/manifests/pilot-*-stagev3_*ledger.tsv	REMOTE_DYNAMIC	same_resource_technical	storage gate	WES_AND_RNA_VALID_WGS_RUNNING
storage_gate	assess_roihu_storage	three authoritative stagev3 caller ledgers and environment inventory	/scratch/project_2008084/champhla_plurality_runs/storage_gate_stagev3.json	MISSING	same_resource_technical	amendment signature packet; capacity authorization	BLOCKED_BY_PILOTS
primary_amendment	human author signature	technical pilots, storage gate, disclosed development history	decisions/20260908_consensus_primary_amendment.json	04a0816599ab21d47fc75f74e14295b14c84ec0df8f2ca339354906d6274618e	prospective_design	capacity/production authorization; evaluation interpretation	UNSIGNED
production_caller_matrix	collect_roihu_outputs	validated production ledgers and native caller outputs	artifacts/corrected/caller_locus_matrix.tsv	MISSING	same_resource_confirmation	plurality/comparator prediction; WGS audit	BLOCKED
wgs_production_audit	audit_native_caller_outputs	2,055 WGS caller-locus rows, native outputs, hashes	artifacts/corrected/wgs_audit/wgs_audit_summary.json	MISSING	same_resource_confirmation	prediction freeze; truth join; manuscript	BLOCKED
wgs_human_review	named human review	stratified 50-record WGS packet	artifacts/corrected/wgs_audit/wgs_manual_review.tsv	MISSING	same_resource_confirmation	prediction freeze; truth join	BLOCKED_HUMAN_AFTER_PACKET
same_resource_predictions	run_truth_blind_predictions	validated 5,289-row caller matrix, frozen panels and comparator policies	artifacts/corrected/predictions.tsv	MISSING	same_resource_confirmation	prediction freeze; truth join	BLOCKED
same_resource_prediction_freeze	freeze_confirmation_bundle; validate_prediction_freeze	code, workflow, manifests, sources, native outputs, audit, predictions	artifacts/corrected/prediction_freeze.json	MISSING	same_resource_confirmation	one-time truth join	BLOCKED
same_resource_truth_join	join_truth_once	validated prediction freeze and segregated eligible truth	artifacts/corrected/truth_join_manifest.json	MISSING	same_resource_confirmation	evaluation; recount	BLOCKED
same_resource_evaluation	evaluate_confirmation	joined corrected rows and consensus_evaluation_same_resource.json	artifacts/corrected/evaluation/confirmation_decision.json	MISSING	same_resource_confirmation	registry; tables; prose; figures; readiness	BLOCKED
same_resource_recount	independent_recount	joined corrected rows and frozen endpoint rules	artifacts/corrected/evaluation/independent_recount.json	MISSING	same_resource_confirmation	count reconciliation; release readiness	BLOCKED
hprc_truth_protocol	validate_hprc_truth_protocol	AGC, HLA-ASM, Immuannot, wrappers and references	configs/hprc_truth_protocol.json	UNRECORDED	independent_validation	HPRC assembly truth submission	PREPARED_NOT_FROZEN
independent_evaluation	evaluate_confirmation; independent_recount	separate frozen/joined HPRC WGS, qualifying WES, qualifying RNA lanes	artifacts/independent/evaluation/confirmation_decision.json	MISSING	independent_validation	independent three-modality gate; manuscript	BLOCKED_EXTERNAL
development_registry	registry validator	artifacts/registered_results_long.tsv and immutable source artifacts	result_registry.tsv	ad28465ff81b9c2fc8129b3a5e278733b60078478b49237874e938e29d1f8257	development_invalid_exploratory	current draft tables/prose	VALID_PROVISIONAL_ONLY
canonical_development_results	registry/table generators	immutable historical source results	artifacts/registered_results_long.tsv	fb478a5795f87e322507483a2040770ebd9a4ed35a50b8412684ac323f21638e	development_invalid_exploratory	result registry	VALID_PROVISIONAL_ONLY
main_claim_audit	audit_manuscript_claims	main manuscript, claims, reconciled registry	artifacts/benchmark_manuscript_audit.json	00c4457c20790b45e91f4ca268f1a895b5a7719844a9f6f6fbada3fe5143007b	mixed	benchmark readiness	STALE_SUBMISSION_READY_FALSE
combined_claim_audit	audit_manuscript_claims --supplement	main manuscript, supplement, claims, reconciled registry	artifacts/benchmark_combined_audit.json	a1c8fc2623d187fb8f5b46c1098b7b184ec6848fd5eeb9484eb1715ca900cd4f	mixed	benchmark readiness	STALE_SUBMISSION_READY_FALSE
figure_manifest	figure build and validation scripts	registry-backed compact source-data tables	manuscripts/figures/figure_manifest.tsv	MISSING	mixed	manuscript; submission package; release	NOT_IMPLEMENTED
submission_manifest	deterministic manuscript renderer	canonical Markdown, bibliography, final figures	manuscripts/submission/submission_manifest.tsv	MISSING	mixed	release bundle	NOT_IMPLEMENTED
release_readiness	audit_release_readiness	all scientific, test, claim, figure, submission and Git gates	artifacts/release_readiness.json	25012125c45fac93e3abc56ba1135a038b36315d290896d21fc3715376a6ec87	mixed	release decision	STALE_FAILED
release_bundle	freeze_release_bundle; archive extraction verifier	allow-listed clean release candidate	artifacts/release_freeze.json	000f770fd198c27914cfa19ecc9d74292700dacc601e01a48bfc73076ce9a335	mixed	DOI archival	STALE_HISTORICAL
